,model,ensemble,exp,warming_level,start_year,end_year
0,UKESM1-0-LL,r1i1p1f2,ssp245,3,2047,2066
0,UKESM1-0-LL,r1i1p1f2,ssp245,3.5,2062,2081
0,UKESM1-0-LL,r1i1p1f2,ssp245,4,2078,2097
0,UKESM1-0-LL,r1i1p1f2,ssp370,1,2000,2019
0,UKESM1-0-LL,r1i1p1f2,ssp370,1.5,2012,2031
0,UKESM1-0-LL,r1i1p1f2,ssp370,2,2021,2040
0,UKESM1-0-LL,r1i1p1f2,ssp370,2.5,2030,2049
0,UKESM1-0-LL,r1i1p1f2,ssp370,3,2039,2058
0,UKESM1-0-LL,r1i1p1f2,ssp370,3.5,2049,2068
0,UKESM1-0-LL,r1i1p1f2,ssp370,4,2058,2077
0,UKESM1-0-LL,r1i1p1f2,ssp585,1,2000,2019
0,UKESM1-0-LL,r1i1p1f2,ssp585,1.5,2012,2031
0,UKESM1-0-LL,r1i1p1f2,ssp585,2,2021,2040
0,UKESM1-0-LL,r1i1p1f2,ssp585,2.5,2029,2048
0,UKESM1-0-LL,r1i1p1f2,ssp585,3,2036,2055
0,UKESM1-0-LL,r1i1p1f2,ssp585,3.5,2043,2062
0,UKESM1-0-LL,r1i1p1f2,ssp585,4,2050,2069
